disease,metric,method,n_pairs,method_mean,RWR_mean,mean_increase_over_RWR,t_statistic,p_value,significance
amino acid metabolism inborn errors,AP@300,QA1,2,0.09436521275059725,0.01249928380129392,0.08186592894930333,6.773936613992299,0.0933068505930019,ns
amino acid metabolism inborn errors,AP@300,QA*,2,0.1120822089305841,0.01249928380129392,0.09958292512929018,4.745073638083307,0.1322294349048999,ns
amino acid metabolism inborn errors,AP@300,DIAMOND,2,0.019275321144296365,0.01249928380129392,0.006776037343002445,2.4508909577114717,0.2466243424370227,ns
amino acid metabolism inborn errors,AP@300,GCN,2,0.06769453310101153,0.01249928380129392,0.05519524929971762,8.048211548289903,0.07869744258089258,ns
amino acid metabolism inborn errors,Recall@25,rNBR,2,0.19230769230769232,0.038461538461538464,0.15384615384615385,2.0,0.2951672353008664,ns
amino acid metabolism inborn errors,Recall@25,RWR,2,0.07692307692307693,0.038461538461538464,0.038461538461538464,1.0,0.49999999999999956,ns
amino acid metabolism inborn errors,Recall@25,DK,2,0.15384615384615385,0.038461538461538464,0.11538461538461539,3.0,0.20483276469913345,ns
amino acid metabolism inborn errors,Recall@25,DK*,2,0.19230769230769232,0.038461538461538464,0.15384615384615385,2.0,0.2951672353008664,ns
amino acid metabolism inborn errors,Recall@25,QA0,2,0.11538461538461539,0.038461538461538464,0.07692307692307693,1.0,0.49999999999999956,ns
amino acid metabolism inborn errors,Recall@25,QA1,2,0.19230769230769232,0.038461538461538464,0.15384615384615385,2.0,0.2951672353008664,ns
amino acid metabolism inborn errors,Recall@25,QA*,2,0.19230769230769232,0.038461538461538464,0.15384615384615385,2.0,0.2951672353008664,ns
amino acid metabolism inborn errors,Recall@25,DIAMOND,2,0.038461538461538464,0.038461538461538464,0.0,0.0,1.0,ns
amino acid metabolism inborn errors,Recall@25,GCN,2,0.11538461538461539,0.038461538461538464,0.07692307692307693,inf,0.0,***
amino acid metabolism inborn errors,Recall@300,rNBR,2,0.34615384615384615,0.3076923076923077,0.038461538461538464,1.0,0.49999999999999956,ns
amino acid metabolism inborn errors,Recall@300,RWR,2,0.46153846153846156,0.3076923076923077,0.15384615384615385,inf,0.0,***
amino acid metabolism inborn errors,Recall@300,DK,2,0.42307692307692313,0.3076923076923077,0.11538461538461539,3.0,0.20483276469913345,ns
amino acid metabolism inborn errors,Recall@300,DK*,2,0.42307692307692313,0.3076923076923077,0.11538461538461539,3.0,0.20483276469913345,ns
amino acid metabolism inborn errors,Recall@300,QA0,2,0.3076923076923077,0.3076923076923077,0.0,0.0,1.0,ns
amino acid metabolism inborn errors,Recall@300,QA1,2,0.46153846153846156,0.3076923076923077,0.15384615384615383,2.0000000000000004,0.2951672353008664,ns
amino acid metabolism inborn errors,Recall@300,QA*,2,0.46153846153846156,0.3076923076923077,0.15384615384615383,2.0000000000000004,0.2951672353008664,ns
amino acid metabolism inborn errors,Recall@300,DIAMOND,2,0.5,0.3076923076923077,0.1923076923076923,5.000000000000003,0.12566591637800228,ns
amino acid metabolism inborn errors,Recall@300,GCN,2,0.5,0.3076923076923077,0.1923076923076923,5.000000000000003,0.12566591637800228,ns
amyotrophic lateral sclerosis,AP@25,rNBR,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@25,RWR,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@25,DK,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@25,DK*,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@25,QA0,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@25,QA1,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@25,QA*,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@25,DIAMOND,2,0.1,0.1,0.0,0.0,1.0,ns
amyotrophic lateral sclerosis,AP@25,GCN,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@300,rNBR,2,0.0004651162790697674,0.1,-0.09953488372093024,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@300,RWR,2,0.0013888888888888887,0.1,-0.09861111111111112,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@300,DK,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@300,DK*,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@300,QA0,2,0.0004878048780487805,0.1,-0.09951219512195122,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@300,QA1,2,0.0010339988675250498,0.1,-0.09896600113247496,-0.9867933328423792,0.50423169409311,ns
amyotrophic lateral sclerosis,AP@300,QA*,2,0.0022097316360830993,0.1,-0.09779026836391691,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,AP@300,DIAMOND,2,0.1,0.1,0.0,0.0,1.0,ns
amyotrophic lateral sclerosis,AP@300,GCN,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@25,rNBR,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@25,RWR,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@25,DK,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@25,DK*,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@25,QA0,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@25,QA1,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@25,QA*,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@25,DIAMOND,2,0.1,0.1,0.0,0.0,1.0,ns
